
=== Sheet: APRIL 2026 ===
GOFSCO ALL DEPARTMENT CONSUMPTION (MIV) LIST MONTH APR. 2026 |  |  |  |  |  |  |  |  |  |  | 
S.NO. | MIV NUMBER | ITME CODE | DESCRIPTION | PART NUMBER | QTY | UOM | DEPARTMENT | LOCATION | ISSUED DATE | UNIT COST | TOTAL COST
130 | INT00007957 | CONS-0698 | 1400 R 20 PROTECTOR | 14.00 R 20 | 2 | EA | WELL TEST | 602 | 2026-04-22 00:00:00 | 10 | 20
131 | INT00007958 | LUBR-0047 | 15 W-40 ENGINE OIL | 15 W-40 | 1 | DRM | DRILLING | 923 | 2026-04-22 00:00:00 | 109 | 109
132 | INT00007958 | LUBR-0039 | HYDRAULIC OIL 46(208L) | HYDRAULIC OIL 46(208L) | 1 | DRM | DRILLING | 923 | 2026-04-22 00:00:00 | 119 | 119
133 | INT00007958 | LUBR-0060 | EP2 GREASE (15KG BUCKET) | EP2 GREASE (15KG BUCKET) | 1 | EA | DRILLING | 923 | 2026-04-22 00:00:00 | 17.5 | 17.5
134 | INT00007959 | CONS-0031 | CO2 DETECTION TUBES 1-20% | CO2 DETECTION TUBES 1-20% | 1 | PKT | WELL TEST | 602 | 2026-04-26 00:00:00 | 7.112 | 7.112
135 | INT00007959 | CONS-0032 | CO2 DETECTION TUBES 0.1-5.2% | CO2 DETECTION TUBES 0.1-5.2% | 2 | PKT | WELL TEST | 602 | 2026-04-26 00:00:00 | 7.1115 | 14.223
136 | INT00007959 | CONS-0036 | H2S GAS DETECTOR, 25-2000 PPM | H2S GAS DETECTOR, 25-2000 PPM | 1 | PKT | WELL TEST | 602 | 2026-04-26 00:00:00 | 7.112 | 7.112
137 | INT00007959 | CONS-0043 | H2S GAS DETECTOR, 0.1-4.0% | H2S GAS DETECTOR, 0.1-4.0% | 1 | PKT | WELL TEST | 602 | 2026-04-26 00:00:00 | 7.112 | 7.112
138 | INT00007959 | PART-0916 | 3"WECO SEAL | 3"WECO SEAL | 6 | EA | WELL TEST | 602 | 2026-04-26 00:00:00 | 1.243333 | 7.459998
139 | INT00007960 | HSED-0004 | COVERALL, SAFETY | COVERALL | 3 | EA | HEALTH & SAFETY | 000 | 2026-04-26 00:00:00 | 11.25 | 33.75
140 | INT00007960 | HSED-2321 | SAFETY BOOT (BICAP)6060/6E | SAFETY BOOT (BICAP)6060/6E | 1 | EA | HEALTH & SAFETY | 000 | 2026-04-26 00:00:00 | 23 | 23
141 | INT00007960 | HSED-2321 | SAFETY BOOT (BICAP)6060/6E | SAFETY BOOT (BICAP)6060/6E | 1 | EA | HEALTH & SAFETY | 000 | 2026-04-26 00:00:00 | 23 | 23
142 | INT00007960 | HSED-0035 | SAFETY SHOES, STD. | SAFETY SHOES, STD. | 3 | PAIR | HEALTH & SAFETY | 000 | 2026-04-26 00:00:00 | 5.65 | 16.95
143 | INT00007960 | HSED-0084 | SAFETY GLASS CLEAR | SAFETY GLASS CLEAR | 1 | EA | HEALTH & SAFETY | 000 | 2026-04-26 00:00:00 | 0.7 | 0.7
144 | INT00007960 | HSED-0085 | SAFETY GLASSES SHADED | SAFETY GLASSES SHADED | 1 | EA | HEALTH & SAFETY | 000 | 2026-04-26 00:00:00 | 0.7 | 0.7
145 | INT00007961 | HSED-0004 | COVERALL, SAFETY | COVERALL | 2 | EA | HEALTH & SAFETY | 000 | 2026-04-26 00:00:00 | 11.25 | 22.5
146 | INT00007961 | HSED-2321 | SAFETY BOOT (BICAP)6060/6E | SAFETY BOOT (BICAP)6060/6E | 1 | EA | HEALTH & SAFETY | 000 | 2026-04-26 00:00:00 | 23 | 23
147 | INT00007961 | HSED-0085 | SAFETY GLASSES SHADED | SAFETY GLASSES SHADED | 1 | EA | HEALTH & SAFETY | 000 | 2026-04-26 00:00:00 | 0.7 | 0.7
 |  |  |  | TOTAL QTY.: | 14932 |  |  |  |  | TOTAL COST | 17002.437956000005
 |  |  |  |  |  |  |  |  | SLK | 6.812 | 
 |  |  |  |  |  |  |  |  | IT | 11 | 
 |  |  |  |  |  |  |  |  | MNT |  | 
 |  |  |  |  |  |  |  |  | HSE | 291.4 | 
 |  |  |  |  |  |  |  |  | WELL TEST | 1315.574 | 
 |  |  |  |  |  |  |  |  | COIL TUBE | 12968.4 | 
 |  |  |  |  |  |  |  |  | WIRELINE | 76.286 | 
 |  |  |  |  |  |  |  |  | DRILLING | 1937 | 
 |  |  |  |  |  |  |  |  | PCP |  | 
 |  |  |  |  |  |  |  |  | HR |  | 
 |  |  |  |  |  |  |  |  | PROCUREMNT |  | 
 |  |  |  |  |  |  |  |  | SULPHER TRNSP. |  | 
 |  |  |  |  |  |  |  |  | STORE |  | 
 |  |  |  |  |  |  |  |  | KHAFJI | 395.966 | 
 |  |  |  |  |  |  |  |  | TOTAL: | 17002.438000000002 | 
